brand,cpu_type,cpu_speed,max_cpu_speed,gpu_type,ram_type,ram,ram_speed,storage,screen_size,resolution,webcam,num_sd_slot,material,os,audio_tech,bluetooth_tech,wifi_tech,weight,thickness,width,length,released,has_lightning,has_thundebolt,has_touchscreen,has_fingerprint,has_camera_lock,has_180_degree,has_face_id,has_antiglare,new_warranty,used_warranty,used_price
Asus,i7,2.3,4.6,NVIDIA RTX,DDR4,8,3200,512,15.6,1920 x 1080,HD,0,Nhựa,Windows,DTS,5.2,Wi-Fi 6,2.3,24.9,256,359,2021,1,0,0,0,0,0,0,1,24,22,25130000
Asus,i5,2.5,4.5,NVIDIA GTX,DDR4,8,2933,512,15.6,1920 x 1080,HD,0,Nhựa,Windows,DTS,5,Wi-Fi 6,2.3,24.9,256,359,2020,1,0,0,0,0,0,0,1,24,20.5,19100000
Asus,i7,3.3,4.8,NVIDIA RTX,DDR4,8,3200,512,15.6,1920 x 1080,,0,Nhựa,Windows,DTS,5.1,Wi-Fi 6,2,19.9,252,360,2021,1,1,0,0,0,0,0,1,24,20.5,26050000
Asus,i7,3.3,4.8,NVIDIA RTX,DDR4,16,3200,512,15.6,1920 x 1080,,0,Nhựa,Windows,DTS,5.1,Wi-Fi 6,2,19.9,252,360,2021,1,1,0,0,0,0,0,1,24,20,28500000
Asus,i5,2.7,4.5,NVIDIA RTX,DDR4,8,3200,512,17.3,1920 x 1080,HD,0,Nhựa,Windows,DTS,5.2,Wi-Fi 6,2.6,23.9,269,399,2021,1,1,0,0,0,0,0,1,24,12,20950000
Asus,i7,2.3,4.6,NVIDIA RTX,DDR4,8,3200,512,17.3,1920 x 1080,HD,0,Nhựa,Windows,DTS,5.2,Wi-Fi 6,2.6,23.9,269,399,2021,1,1,0,0,0,0,0,1,24,21,27930000
Asus,i3,2.1,4.1,Intel,DDR4,4,2666,512,14,1920 x 1080,HD,1,Nhựa,Windows,SonicMaster,4.2,Wi-Fi 5,1.406,19.5,212,322,2020,0,0,0,1,0,0,0,0,24,16,10840000
Asus,i3,2.1,3.9,Intel,DDR4,4,2400,512,14,1920 x 1080,HD,1,Nhựa,Windows,SonicMaster,4.1,Wi-Fi 5,1.5,19,212,322,2019,0,0,0,1,0,0,0,1,24,12,9890000
Asus,i3,3,4.1,Intel,DDR4,8,3200,512,14,1920 x 1080,HD,1,Nhựa,Windows,Harman,5,Wi-Fi 6,1.4,17.9,215,324,2021,0,0,0,1,0,0,0,1,24,21.5,14290000
Asus,i3,3,4.1,Intel,DDR4,8,3200,512,14,1920 x 1080,HD,1,Nhựa,Windows,Harman,5,Wi-Fi 6,1.4,17.9,215,324,2021,0,0,0,1,0,0,0,1,24,21,13960000
Asus,i5,2.4,4.2,Intel,DDR4,8,3200,512,14,1920 x 1080,HD,1,Nhựa,Windows,Harman,5,Wi-Fi 6,1.4,17.9,215,324,2020,0,0,0,1,0,0,0,1,24,19,16580000
Asus,i5,2.4,4.2,Intel,DDR4,8,3200,512,14,1920 x 1080,HD,1,Nhựa,Windows,Harman,5,Wi-Fi 6,1.4,17.9,215,324,2020,0,0,0,1,0,0,0,1,24,21,16330000
Asus,i5,2.4,4.2,Intel,DDR4,8,3200,512,14,1920 x 1080,HD,1,Nhựa,Windows,Harman,5,Wi-Fi 6,1.4,17.9,215,324,2020,0,0,0,1,0,0,0,1,24,15.5,14650000
Asus,i3,3,4.1,Intel,DDR4,8,3200,512,15.6,1920 x 1080,HD,1,Nhựa,Windows,Harman,5,Wi-Fi 6,1.8,17.9,235,359,2020,0,0,0,1,0,0,0,1,24,20.5,14320000
Asus,i3,3,4.1,Intel,,8,3200,512,15.6,1920 x 1080,HD,1,Kim loại,Windows,Harman,5,Wi-Fi 6,1.8,17.9,235,359,2020,0,0,0,1,0,0,0,1,24,15.5,13330000
Asus,i5,2.4,4.2,Intel,DDR4,8,3200,512,15.6,1920 x 1080,HD,1,Nhựa,Windows,Harman,5,Wi-Fi 6,1.8,17.9,235,359,2021,0,0,0,1,0,0,0,0,24,22,17630000
Asus,i5,2.4,4.2,NVIDIA MX,DDR4,8,3200,512,15.6,1920 x 1080,HD,1,Nhựa,Windows,Harman,5,Wi-Fi 6,1.8,17.9,235,359,2020,0,0,0,1,0,0,0,0,24,20.5,18060000
Asus,i3,3,4.1,Intel,LPDDR4X,4,4266,512,14,1920 x 1080,HD,1,Nhựa,Windows,Harman,5,Wi-Fi 6,1.5,18.7,220,324,2021,1,1,1,1,0,0,0,0,24,22,14100000
Asus,i7,2.6,4.5,NVIDIA GTX,DDR4,8,2666,512,15.6,1920 x 1080,HD,1,Nhựa,Windows,Harman,4.2,Wi-Fi 5,1.8,21.9,248,359,2020,0,0,0,1,0,0,0,1,24,10.5,19070000
Asus,i5,1.6,3.9,NVIDIA MX,DDR4,8,2400,256,14,1920 x 1080,VGA,1,Kim loại,Windows,SonicMaster,4.1,Wi-Fi 5,1.4,18,226,323,2018,1,0,0,1,0,0,0,1,24,11,15260000
Asus,i5,1.6,3.9,Intel,DDR4,8,2400,1024,15.6,1920 x 1080,VGA,1,Kim loại,Windows,SonicMaster,4.1,Wi-Fi 5,1.8,18,143,361,2018,1,0,0,1,0,0,0,0,24,9,14070000
Asus,i3,2.1,3.9,Intel,DDR4,4,2400,1024,15.6,1920 x 1080,HD,1,Kim loại,Windows,SonicMaster,4.1,Wi-Fi 5,1.8,18,243,361,2018,1,0,0,1,0,0,0,1,24,3,10090000
Asus,i5,1.6,3.9,NVIDIA MX,DDR4,4,2400,1024,15.6,1920 x 1080,HD,1,Nhựa,Windows,SonicMaster,4.1,Wi-Fi 5,1.76,18,243.5,361.4,2018,1,0,0,1,0,0,0,0,24,13,14490000
